Year,Pop,Births,Net oversaeas migration,,,
1982,15184200,237100,128100,,,"3101.0 - Australian Demographic Statistics, Jun 2014"
1983,15393500,241800,73300,,,
1984,15579400,240500,49100,,,
1985,15788300,241900,73800,,,
1986,16018400,239100,100500,,,
1987,16263900,242900,125800,,,
1988,16532200,246200,149400,,,
1989,16814400,250300,157500,,,
1990,17065100,257500,124700,,,
1991,17284000,261100,86500,,,
1992,17478600,259600,68600,,,
1993,17634800,260500,30100,,,
1994,17805500,258900,46600,,,
1995,18004900,258600,80200,,,
1996,18224800,250800,104000,,,
1997,18423000,254300,87200,,,
1998,18607600,249800,79100,,,
1999,18812300,250700,96500,,,
2000,19028800,250500,107200,,,
2001,19274700,249300,135700,,,
2002,19495200,249400,110600,,,
2003,19720700,249200,116500,,,
2004,19932700,252000,100000,,,
2005,20176800,258300,123800,,,
2006,20451000,266100,146700,,,
2007,20827600,287300,232700,,,
2008,21249200,295200,277400,,,
2009,21691700,300100,299800,,,
2010,22031800,304000,196100,,,
2011,22340000,301100,180400,,,
2012,22728300,306000,229500,,,
2013,23125900,311100,235700,,,
2014,23490700,300900,212700,,,
