Age–specific fertility rate,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
15,0.007,0.0066,0.0057,0.0055,0.0051,0.0048,0.0048,0.0047,0.0049,0.0038,0.0039,0.0037,0.0036,0.0032,0.0038,0.0037,0.0036,0.0033,0.0035,0.0041,0.0036,0.0038,0.0035,0.0033,0.0033,0.0029,0.0032,0.0029,0.0029,0.0027,0.0029,0.0026,0.0033,0.0034,0.0037,0.0031,0.0029,0.0029,0.0027
16,0.0192,0.0159,0.0143,0.0129,0.0128,0.012,0.0122,0.0118,0.0116,0.0102,0.0101,0.009,0.0086,0.0089,0.009,0.0085,0.0089,0.009,0.0087,0.009,0.0094,0.0089,0.0085,0.0083,0.0077,0.0077,0.0073,0.0075,0.0072,0.0067,0.007,0.0067,0.0068,0.008,0.0076,0.007,0.0066,0.0064,0.0056
17,0.0375,0.0323,0.03,0.0272,0.0264,0.0245,0.025,0.0254,0.0243,0.0218,0.0211,0.0204,0.0194,0.0185,0.0189,0.0205,0.0199,0.0193,0.0193,0.0187,0.0189,0.0198,0.0182,0.018,0.0171,0.0163,0.0159,0.015,0.0143,0.0146,0.0152,0.0142,0.0151,0.0155,0.0162,0.0139,0.0137,0.0143,0.0128
18,0.0604,0.0519,0.0463,0.0437,0.0404,0.0402,0.0404,0.0393,0.038,0.0346,0.0338,0.0332,0.0312,0.029,0.0294,0.0314,0.0317,0.0314,0.0294,0.0282,0.0285,0.0286,0.029,0.0275,0.0268,0.0254,0.0251,0.025,0.0223,0.0234,0.0232,0.0231,0.0238,0.0257,0.0241,0.023,0.0224,0.0227,0.0203
19,0.08,0.0728,0.0666,0.0612,0.0571,0.0544,0.0555,0.0536,0.0528,0.0466,0.0471,0.0457,0.0431,0.0424,0.0404,0.0424,0.0426,0.0437,0.0416,0.0419,0.0413,0.0396,0.0407,0.039,0.0392,0.0373,0.0376,0.0364,0.0339,0.0328,0.0342,0.0348,0.0365,0.0383,0.0359,0.0349,0.0336,0.0331,0.0303
20,0.0999,0.0938,0.086,0.0801,0.0746,0.0712,0.071,0.0696,0.0685,0.0605,0.0616,0.0586,0.0555,0.0549,0.0523,0.0538,0.0508,0.0531,0.0523,0.0498,0.0484,0.0478,0.047,0.0456,0.0465,0.0435,0.044,0.0424,0.04,0.0393,0.0409,0.0402,0.0445,0.0448,0.0432,0.0416,0.0413,0.0408,0.0383
21,0.1175,0.1118,0.1067,0.1006,0.0939,0.0891,0.0894,0.0858,0.0855,0.0763,0.0768,0.0707,0.0677,0.0647,0.0635,0.0656,0.0622,0.0611,0.0586,0.0583,0.056,0.0537,0.0526,0.0515,0.0527,0.0512,0.0489,0.0497,0.0469,0.046,0.0464,0.0462,0.051,0.0514,0.0482,0.0471,0.0448,0.0452,0.0445
22,0.1339,0.1299,0.1224,0.119,0.111,0.11,0.1091,0.1056,0.1027,0.0939,0.095,0.089,0.0824,0.0808,0.0775,0.078,0.0747,0.0729,0.0692,0.0676,0.0654,0.0631,0.0614,0.0605,0.0594,0.0578,0.0587,0.0551,0.054,0.0523,0.0531,0.053,0.0577,0.0601,0.0568,0.0549,0.0514,0.0522,0.0522
23,0.1531,0.1457,0.1424,0.134,0.1279,0.1279,0.13,0.1214,0.1209,0.1117,0.1144,0.1053,0.0999,0.0946,0.0927,0.0935,0.0892,0.0888,0.082,0.0782,0.0775,0.0734,0.0712,0.0693,0.0688,0.0675,0.0662,0.0639,0.0619,0.0613,0.0611,0.0611,0.0654,0.0644,0.0632,0.0615,0.059,0.0591,0.0572
24,0.1657,0.1603,0.1532,0.1474,0.1411,0.1398,0.1409,0.1395,0.1365,0.1285,0.1283,0.123,0.1164,0.1109,0.1068,0.1082,0.1021,0.1027,0.096,0.0942,0.0866,0.0868,0.0815,0.0804,0.0775,0.0776,0.0756,0.0746,0.0724,0.0689,0.071,0.0699,0.0745,0.0754,0.0714,0.071,0.068,0.0681,0.0638
