Source,National Notifiable Diseases Surveillance System,,,,,,,,,,,,,,,,,,
,http://www9.health.gov.au/cda/source/rpt_4_sel.cfm,,,,,,,,,,,,,,,,,,
Number of notifications of Hepatitis C (unspecified)*,,,,,,,,,,,,,,,,,,,
Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ACT,325,266,310,287,277,212,211,225,240,209,158,175,189,195,155,211,179,132,169
NSW,6560,7069,6468,6744,7693,7142,7496,6022,4770,4475,4114,4036,4066,3399,4012,3942,3320,3227,3507
NT,301,214,295,233,192,189,214,200,219,258,255,259,225,203,163,169,205,191,256
QLD,2772,2759,2819,2876,3004,3312,2955,2866,2590,2633,2623,2821,2647,2602,2632,2671,2407,2384,2467
SA,2157,2387,1806,1699,928,870,789,643,584,609,550,516,578,568,528,491,441,407,414
TAS,250,255,200,256,279,300,311,325,340,283,212,261,253,328,259,244,202,239,210
VIC,1981,2158,2122,4137,5510,5047,4496,3692,3433,2866,2820,2545,2612,2251,2305,2367,2162,2048,2128
WA,1105,1049,999,1096,980,1541,1190,989,1064,1030,950,1007,1156,1255,1045,988,963,1011,1155
Aust,15451,16157,15019,17328,18863,18613,17662,14962,13240,12363,11682,11620,11726,10801,11099,11083,9879,9639,10306
,,,,,,,,,,,,,,,,,,,
Updated data (using national rate for HCV notifications where there aren't any),,,,,,,,,,,,,,,,,,,
Number of notifications of Hepatitis C (newly acquired),,,,,,,,,,,,,,,,,,,
Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ACT,11,11,7,11,24,19,19,8,13,7,15,17,10,6,8,12,10,15,15
NSW,30,18,18,111,104,215,273,143,122,57,44,56,65,26,41,37,52,50,43
NT,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,3,0,1
QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,69,64,99,137,89,93,90,45,76,64,53,54,49,43,35,43,33,80,62
TAS,3,4,1,18,17,30,18,15,13,26,28,10,20,21,22,23,27,23,19
VIC,8,3,24,47,107,66,107,91,114,163,141,201,147,162,195,208,167,192,149
WA,0,0,0,0,0,0,0,0,0,0,105,99,79,100,93,77,120,128,123
Aust,121,100,149,324,341,423,507,302,338,317,386,437,374,364,399,400,412,488,412
,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,
Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,336,277,317,298,301,231,230,233,253,216,173,192,199,201,163,223,189,147,184
1,6590,7087,6486,6855,7797,7357,7769,6165,4892,4532,4158,4092,4131,3425,4053,3979,3372,3277,3550
2,301,214,295,233,192,189,214,200,219,258,255,259,229,209,168,169,208,191,257
3,2772,2759,2819,2876,3004,3312,2955,2866,2590,2633,2623,2821,2647,2602,2632,2671,2407,2384,2467
4,2226,2451,1905,1836,1017,963,879,688,660,673,603,570,627,611,563,534,474,487,476
5,253,259,201,274,296,330,329,340,353,309,240,271,273,349,281,267,229,262,229
6,1989,2161,2146,4184,5617,5113,4603,3783,3547,3029,2961,2746,2759,2413,2500,2575,2329,2240,2277
7,1105,1049,999,1096,980,1541,1190,989,1064,1030,1055,1106,1235,1355,1138,1065,1083,1139,1278
8,15572,16257,15168,17652,19204,19036,18169,15264,13578,12680,12068,12057,12100,11165,11498,11483,10291,10127,10718
