CONTENT TYPE,TITLE,ABBR,ISSN,e-ISSN,PUBLICATION RANGE: START,PUBLICATION RANGE: LATEST PUBLISHED,SHORTCUT URL,ARCHIVE URL
Journals,ACM Computing Surveys ,ACM Comput. Surv.,0360-0300,1557-7341,Volume 1 Issue 1 (March 1969),Volume 46 Issue 1 (October 2013),http://dl.acm.org/citation.cfm?id=J204,http://dl.acm.org/citation.cfm?id=J204&picked=prox
Journals,ACM Journal of Computer Documentation ,ACM J. Comput. Doc.,1527-6805,1557-9441,"Volume 24 Issue 1 (Feb. 1, 2000)",Volume 26 Issue 4 (November 2002),http://dl.acm.org/citation.cfm?id=J24,http://dl.acm.org/citation.cfm?id=J24&picked=prox
Journals,ACM Journal on Emerging Technologies in Computing Systems ,J. Emerg. Technol. Comput. Syst.,1550-4832,1550-4840,Volume 1 Issue 1 (April 2005),Volume 9 Issue 4 (November 2013) - Special Issue on Bioinformatics,http://dl.acm.org/citation.cfm?id=J967,http://dl.acm.org/citation.cfm?id=J967&picked=prox
Journals,Journal of Data and Information Quality ,J. Data and Information Quality,1936-1955,1936-1963,Volume 1 Issue 1 (June 2009),Volume 4 Issue 3 (May 2013),http://dl.acm.org/citation.cfm?id=J1191,http://dl.acm.org/citation.cfm?id=J1191&picked=prox
Journals,Journal of Experimental Algorithmics ,J. Exp. Algorithmics,1084-6654,1084-6654,Volume 1 (1996),Volume 18 (April 2013),http://dl.acm.org/citation.cfm?id=J430,http://dl.acm.org/citation.cfm?id=J430&picked=prox
Journals,Journal of the ACM ,J. ACM,0004-5411,1557-735X,Volume 1 Issue 1 (Jan. 1954),Volume 60 Issue 6 (November 2013),http://dl.acm.org/citation.cfm?id=J401,http://dl.acm.org/citation.cfm?id=J401&picked=prox
Journals,Journal on Computing and Cultural Heritage ,J. Comput. Cult. Herit.,1556-4673,1556-4711,Volume 1 Issue 1 (June 2008),Volume 6 Issue 3 (July 2013),http://dl.acm.org/citation.cfm?id=J1157,http://dl.acm.org/citation.cfm?id=J1157&picked=prox
Journals,Journal on Educational Resources in Computing ,J. Educ. Resour. Comput.,1531-4278,1531-4278,Volume 1 Issue 1es (March 2001),Volume 13 Issue 3 (August 2013) - Special Issue on Alternatives to Lecture in the Computer Science Classroom,http://dl.acm.org/citation.cfm?id=J814,http://dl.acm.org/citation.cfm?id=J814&picked=prox
Transactions,ACM Letters on Programming Languages and Systems ,ACM Lett. Program. Lang. Syst.,1057-4514,1557-7384,Volume 1 Issue 1 (March 1992),Volume 2 Issue 1-4 (March&#8211;Dec. 1993),http://dl.acm.org/citation.cfm?id=J513,http://dl.acm.org/citation.cfm?id=J513&picked=prox
Transactions,ACM Transactions on Accessible Computing ,ACM Trans. Access. Comput.,1936-7228,1936-7236,Volume 1 Issue 1 (May 2008),Volume 5 Issue 2 (October 2013),http://dl.acm.org/citation.cfm?id=J1156,http://dl.acm.org/citation.cfm?id=J1156&picked=prox
Transactions,ACM Transactions on Algorithms ,ACM Trans. Algorithms,1549-6325,1549-6333,Volume 1 Issue 1 (July 2005),Volume 9 Issue 4 (September 2013),http://dl.acm.org/citation.cfm?id=J982,http://dl.acm.org/citation.cfm?id=J982&picked=prox
Transactions,ACM Transactions on Applied Perception ,ACM Trans. Appl. Percept.,1544-3558,1544-3965,Volume 1 Issue 1 (July 2004),Volume 10 Issue 4 (October 2013),http://dl.acm.org/citation.cfm?id=J932,http://dl.acm.org/citation.cfm?id=J932&picked=prox
Transactions,ACM Transactions on Architecture and Code Optimization ,ACM Trans. Archit. Code Optim.,1544-3566,1544-3973,Volume 1 Issue 1 (March 2004),Volume 10 Issue 4 (December 2013),http://dl.acm.org/citation.cfm?id=J924,http://dl.acm.org/citation.cfm?id=J924&picked=prox
Transactions,ACM Transactions on Asian Language Information Processing ,,1530-0226,1558-3430,Volume 1 Issue 1 (March 2002),Volume 12 Issue 4 (October 2013),http://dl.acm.org/citation.cfm?id=J820,http://dl.acm.org/citation.cfm?id=J820&picked=prox
