Source,National Notifiable Diseases Surveillance System,,,,,,,,
,http://www9.health.gov.au/cda/source/rpt_4_sel.cfm,,,,,,,,
Number of notifications of Hepatitis C (unspecified)*,,,,,,,,,
,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Aust
1995,325,6560,301,2772,2157,250,1981,1105,15451
1996,266,7069,214,2759,2387,255,2158,1049,16157
1997,310,6468,295,2819,1806,200,2122,999,15019
1998,287,6744,233,2876,1699,256,4137,1096,17328
1999,277,7693,192,3004,928,279,5510,980,18863
2000,212,7142,189,3312,870,300,5047,1541,18613
2001,211,7496,214,2955,789,311,4496,1190,17662
2002,225,6022,200,2866,643,325,3692,989,14962
2003,240,4770,219,2590,584,340,3433,1064,13240
2004,209,4475,258,2633,609,283,2866,1030,12363
2005,158,4114,255,2623,550,212,2820,950,11682
2006,175,4036,259,2821,516,261,2545,1007,11620
2007,189,4066,225,2647,578,253,2612,1156,11726
2008,195,3399,203,2602,568,328,2251,1255,10801
2009,155,4012,163,2632,528,259,2305,1045,11099
2010,211,3942,169,2671,491,244,2367,988,11083
2011,179,3320,205,2407,441,202,2162,963,9879
2012,132,3227,191,2384,407,239,2048,1011,9639
2013,169,3507,256,2467,414,210,2128,1155,10306
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Updated data (using national rate for HCV notifications where there aren't any),,,,,,,,,
Number of notifications of Hepatitis C (newly acquired),,,,,,,,,
,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Aust
1995,11,30,0,0,69,3,8,0,121
1996,11,18,0,0,64,4,3,0,100
1997,7,18,0,0,99,1,24,0,149
1998,11,111,0,0,137,18,47,0,324
1999,24,104,0,0,89,17,107,0,341
2000,19,215,0,0,93,30,66,0,423
2001,19,273,0,0,90,18,107,0,507
2002,8,143,0,0,45,15,91,0,302
2003,13,122,0,0,76,13,114,0,338
2004,7,57,0,0,64,26,163,0,317
2005,15,44,0,0,53,28,141,105,386
2006,17,56,0,0,54,10,201,99,437
2007,10,65,4,0,49,20,147,79,374
2008,6,26,6,0,43,21,162,100,364
2009,8,41,5,0,35,22,195,93,399
2010,12,37,0,0,43,23,208,77,400
2011,10,52,3,0,33,27,167,120,412
2012,15,50,0,0,80,23,192,128,488
2013,15,43,1,0,62,19,149,123,412
